title,subtopic,count
Talk:Culture industry,Cultural industries?,1
Talk:Culture industry,Enjoyment,1
Talk:Culture industry,Original research?,1
Talk:Culture industry,Untitled,1
Talk:Drink industry,Incorrect redirection?,1
Talk:Electricity generation,Audition,1
Talk:Electricity generation,Billion - replace with SI multiplier.,1
Talk:Electricity generation,Co-generation,1
Talk:Electricity generation,Fuel cells,1
Talk:Electricity generation,Merger proposal,1
Talk:Electricity generation,Orbiting Solar Panels,1
Talk:Electricity generation,Pics,1
Talk:Electricity generation,Principles of Electricity Formation,1
Talk:Electricity generation,Producers,1
Talk:Electricity generation,Reference in caption,1
Talk:Electronics industry,Cars,1
Talk:Electronics industry,External links modified,1
Talk:Energy industry,External links modified,2
Talk:Energy industry,Merge with [[Energy and society]],1
Talk:Energy industry,Proposal for splitting into two articles [[Energy and society]] and [[Energy industry]],1
Talk:Entertainment,A Commons file used on this page or its Wikidata item has been nominated for deletion,1
Talk:Entertainment,External links modified,1
Talk:Entertainment,GA Reassessment,1
Talk:Film industry,External links modified,3
Talk:Film industry,"""Cinema""",1
Talk:Film industry,=== Re-insertion of tables ===,1
Talk:Film industry,Cleanup needed,1
Talk:Film industry,Countries by the number of films produced in 2015.jpg,1
Talk:Film industry,FIVE COUNTRIES?,1
Talk:Film industry,Hello,1
Talk:Film industry,"In the ""Statistics"" section",1
Talk:Film industry,Indian Film Industry,1
Talk:Film industry,Market Fix,1
Talk:Fishing industry,External links modified,3
Talk:Fishing industry,"""traditional sector""",1
Talk:Fishing industry,External links,1
Talk:Fishing industry,Fair use rationale for Image:Pyat rublei 1997.jpg,1
Talk:Fishing industry,Fish factory,1
Talk:Fishing industry,Image,1
Talk:Fishing industry,Relationship with [[fishery]],1
Talk:Fishing industry,Stub,1
Talk:Fishing industry,notes,1
Talk:Floral industry,Asian connection,1
Talk:Food industry,Wiki Education Foundation-supported course assignment,2
Talk:Food industry,External links modified,1
Talk:Food industry,Food Industry Technology,1
Talk:Food industry,Food production,1
Talk:Food industry,General Format & Topics Suggestions,1
Talk:Food industry,History section?,1
Talk:Food industry,Launching the article,1
Talk:Food industry,Prominent Food Companies,1
Talk:Food industry,Regulation and Resource Use,1
Talk:Food industry,What about Cargill?,1
Talk:Horticulture industry,Horticulture,1
Talk:Horticulture industry,Wiki Education Foundation-supported course assignment,1
Talk:Hospitality industry,Assessment comment,1
Talk:Hospitality industry,Hospitality Schools,1
Talk:Hospitality industry,Hotel management,1
Talk:Hospitality industry,Notes,1
Talk:Hospitality industry,Underrepresentation,1
Talk:Hospitality industry,What's economic of Hospitality industry,1
Talk:Language industry,Shout-outs,1
Talk:Language industry,Too much like a sales brochure,1
Talk:Leisure industry,Expansion,1
Talk:Meat industry,Criticism,1
Talk:Meat industry,NPOV dispute,1
Talk:Meat industry,"Scope, content, verification, POV",1
Talk:Meat-packing industry,"Move to ""Meatpacking industry""",1
Talk:Music industry,Wiki Education Foundation-supported course assignment,3
Talk:Music industry,External links modified,2
Talk:Music industry,'Recorded Music Retail Sales' table,1
Talk:Music industry,= Reading the sources =,1
Talk:Music industry,Album sales and market value,1
Talk:Music industry,Bad Math,1
Talk:Music industry,Changes,1
Talk:Music industry,Discussion archives,1
Talk:Music industry,Doubtful,1
Talk:Music industry,External links modified (February 2018),1
Talk:Petroleum industry,Ivan Mirzoev,1
Talk:Petroleum industry,No Mention of Standard Oil?,1
Talk:Petroleum industry,"Oil firms knew decades ago fossil fuels posed grave health risks, files reveal",1
Talk:Petroleum industry,Wiki Education Foundation-supported course assignment,1
Talk:Pharmaceutical industry,Wiki Education Foundation-supported course assignment,2
Talk:Pharmaceutical industry,Controversies,1
Talk:Pharmaceutical industry,Impact of Mergers and Acquisitions,1
Talk:Pharmaceutical industry,Need a section on manufacturing,1
Talk:Pharmaceutical industry,Research and development section edit: Not a word about Aspirin?,1
Talk:Poverty industry,Wiki Education Foundation-supported course assignment,1
Talk:Power engineering,"""Areas of Study""",1
Talk:Power engineering,"""History"" Section",1
Talk:Power engineering,Article is lacking in specifics; too generalized,1
Talk:Power engineering,Comments,1
Talk:Power engineering,External links modified (January 2018),1
Talk:Power engineering,I made some correction,1
Talk:Power engineering,Title of the Article,1
Talk:Pulp and paper industry,AQ and Xylanase usage,1
Talk:Pulp and paper industry,"Asia Pulp & Paper...Chinese, Indonesian, or Singaporean?",1
Talk:Pulp and paper industry,Instruments used,1
Talk:Pulp and paper industry,Intro a little silly,1
Talk:Pulp and paper industry,Is this article worthy of stub status?,1
Talk:Pulp and paper industry,List of net sale 2007 - jk?,1
Talk:Pulp and paper industry,Luffa fibers,1
Talk:Pulp and paper industry,Needs update!,1
Talk:Pulp and paper industry,New book that may be of interest for this article:,1
Talk:Pulp and paper industry,Picture on the right,1
Talk:Semiconductor industry,Wiki Education assignment: Technology Workforce Directed Study,1
Talk:Software industry,"==""Sectors"" is misleading==",1
Talk:Software industry,"==""Started... at the time of the PC revolution"" is misleading==",1
Talk:Software industry,"==Definition of ""Software Industry"" is inconsistent==",1
Talk:Software industry,==Failure to describe strategic models in the industry==,1
Talk:Software industry,==History section==,1
Talk:Software industry,==United States mention is misleading==,1
Talk:Software industry,=Buy vs build=,1
Talk:Software industry,=Lack of references=,1
Talk:Software industry,=System integration=,1
Talk:Software industry,Concerns over this article,1
Talk:Space industry,"""industry"" can't be ""companies""",1
Talk:Space industry,Potential overlap with [[Commercialization of space]],1
Talk:Space industry,Space industry,1
Talk:Sport industry,Notes,1
Talk:Sugar industry,Untitled,1
Talk:Sugar industry,Where is the quotation?,1
Talk:Textile industry,Blacklisted Links Found on [[Textile industry]],2
Talk:Textile industry,Article Focus,1
Talk:Textile industry,Confused structure,1
Talk:Textile industry,Copyright problem removed,1
Talk:Textile industry,Duplicate content,1
Talk:Textile industry,History...UK...suggestions,1
Talk:Textile industry,Incorrect Link,1
Talk:Textile industry,Jacquard Loom,1
Talk:Textile industry,Merge with [[Textile manufacturing]],1
Talk:Textile industry,Scope of article is currently the industry (mfg and distribution) since centuries ago,1
Talk:Tobacco industry,"""Conflicting Points of View""",1
Talk:Tobacco industry,A quite good article,1
Talk:Tobacco industry,DO NOT SMOKE IT BAD FOR YOUR HEALTH ..,1
Talk:Tobacco industry,Lawsuits,1
Talk:Tobacco industry,No info about the tabocco industry,1
Talk:Tobacco industry,Over 40 years ago tobacco companies discovered tobacco and its smoke contains [[Polonium]] -210 and suppressed the findings to avoid public attention,1
Talk:Tobacco industry,Production by country or region,1
Talk:Tobacco industry,Rankings,1
Talk:Tobacco industry,US-centred article,1
Talk:Tobacco industry,Use of Euromonitor,1
Talk:Water industry,External links modified,1
Talk:Wood industry,=Cites for Italy section=,1
Talk:Wood industry,=Rapa Nui=,1
Talk:Wood industry,Land appropriation and other issues,1
Talk:Wood industry,Merger proposal,1
