title,subtopic,relevant_content
Talk:Arms industry,umm,"This list is flawed in 2004,2005 and 2006 The Netherlands was #5 arms exporter in the world even above the UK (odd but true)."
Talk:Arms industry,Pacifist Canada?,Canada world's largest arms exporter?????  According to the table 'Top Arms Exporters' Canada appears to export nearly twice as much as the US?  I suggest this table is re-worded to actually reflect the situation.  It is ambiguous at best
Talk:Arms industry,AK-47 and Other Misunderstandings,"The [[AK-47]] is the most widely-copied weapon in the world and, according to the Russians, who would very much like a larger piece of the action, most are made illegally by nations and private enterprises which don't pay a license fee to the Russian patent holder. So equating numbers of AK-47s with any sort of Russian dominance seems hasty at best. Even with developing countries, more than two thirds of Russian transfers were to China and India, economic powerhouses in their own right and major military and nuclear powers besides. Is it fair to equate these two nations with countries such as Uganda or Nigeria?  Moreover, Russian exports are steadily declining, and EU and Israeli exports increasing, so statistics given for a range of years, especially in the past, may misstate the instantaneous, or even annual figures for the countries mentioned. See the current SIPRI report, among others.  It's also hard to equate the numbers released by the various agencies cited in both the main article and in these comments with reality, since terms of art, apples and oranges comparisons, and outright obfuscation mar most of them. Sales to developing nations are not the same as the arms trade in its entirety, since a large part of US output, for example, goes to developed countries. Canada, for example, buys from us, as do Taiwan, Australia, and many others, and all the official reports very clearly state that they reveal only unclassified information, so we must suppose that CIA-mediated and other clandestine transfers don't show up in the statistics. In the end, the article relies on the informed guesswork of SIPRI and other organizations with somewhat less of an agenda and/or political mandate than many official government agencies.  The SIPRI report cited is actually last year's edition, and has been superceded by the 2006 version here: [http://yearbook2006.sipri.org/  SIPRI Yearbook 2006]  [http://www.l-3com.com/ L-3 Communications] makes the sighting systems for weapons, as well as logistical support systems for military operations, so excluding it from the list, in this era of subcontractors taking on tiny bits of each finished product, seems slightly obsessive. One could easily carry this to extremes, and exclude the manufacturers of explosives, for example, because they have to be packed into a bomb in order to qualify as a weapon, or bullets, because they don't become weapons of war until fired from a gun at another human being. Indeed, there are those who use AK-47s to hunt deer and other game, so perhaps many of these so-called assault rifles are actually intended for jolly bands of huntsmen, out to shoot ducks or quail.  Likewise [[Carlyle Group]] profits from or substantially owns several defense companies. Are the owners of a business somehow not responsible for what they produce? Even if the relative amount of Carlyle capital invested in weapons contractors is minor? One notes that Aerospace & Defense are specialties, while plowshares are not. Not much money in the latter, one must suppose. [[User:Lee-Anne|Lee-Anne]] 14:31, 26 February 2007 (UTC)  :Mikhail Kalashnikov never patented the design for the AK47, hence until 1999 there was nothing illegal about other nations building their own versions or even exact copies.  IZH's claim to the patent, issued 52 years after the rifle was first created, is incredibly dubious.  Just a little titbit which might be of interest.  [[User:Happy-melon|Happy-melon]] 17:31, 3 March 2007 (UTC)"
Talk:Arms industry,Table vandalism,"Currently the stats are all incorrect.  :I've reverted the section to a previous version. Feel free to remove/revert the vandalism if you see it. Thanks, [[User:Ladida|Ladida]] 11:45, 6 March 2007 (UTC)"
Talk:Arms industry,Illegal vs. Legal Arms Trading,"There seems to be very little distinction between legitimate, legal arms trading and illegal weapons smuggling (which is what it should be called). This is important because small arms smuggling is usually the area of concern for most people concerned with current events in war-torn regions and is what ""arms trade"" means to a lot of people; whereas legitimate trading between, say, the US and Mexico, is entirely different. <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/198.151.181.214|198.151.181.214]] ([[User talk:198.151.181.214|talk]]) 21:46, 13 March 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned -->"
Talk:Arms industry,Outdated Figures,"According to more current figures from 2006, Russia and France have taken over as the leading countries in arms dealing -- why is this not reflected in the article?????  Here is the link to the article setting this out.  http://www.canada.com/nationalpost/news/story.html?id=2d383264-f486-4305-9336-d6178d88f3b2&k=70609 <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/207.230.224.34|207.230.224.34]] ([[User talk:207.230.224.34|talk]]) 18:35, 28 March 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned -->"
Talk:Arms industry,First post ever,"This article seems to violate the NPOV rule badly, especially the last part of global impact.  While America's policies might be questionable, this is not the place to do it.  I'm shocked that this whole talk page hasn't turned into a flame war considering how vehement most editors are about keeping POV out of an article. <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/76.177.83.13|76.177.83.13]] ([[User talk:76.177.83.13|talk]]) 20:03, 30 March 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned -->"
Talk:Arms industry,Overall Lack Of Quality,"The whole thing is awful. Even the very first line: ""The Arms Industry is a massive global industry."" Someone needs to rewrite this to a professional standard; I'd do it myself, but I don't have a good enough understanding of the subject matter. Ironically, I came here to learn more about it...  --[[User:Boiled elephant|boiled_elephant]] 15:04, 13 April 2007 (UTC)"
Talk:Arms industry,US is not the largest exporter of arms,"How can this article say that the US is by far the largest exporter of arms when this position is, according to many sources, held by Russia.  Sources: http://www.abc.net.au/news/newsitems/200606/s1661277.htm  http://www.canada.com/nationalpost/news/story.html?id=2d383264-f486-4305-9336-d6178d88f3b2&k=70609 [[User:Ilya1166]] 2 June 2007   Both sources are rather fishy (incompetent journalist irresposible blab apparently).  According to SIPRI data (and their numbers I take anyday over what ""borzopisci"" write), largest armes exporter '''IS''' USA, with Russia not far behind.   Why are you giving a link that refers to 2005? It is now 2008 and the United Kingdom is currently the largest exporter of armaments.  ~'BS Detector'~ 15 November 2008  <span style=""font-size: smaller;"" class=""autosigned"">—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[Special:Contributions/86.9.138.200|86.9.138.200]] ([[User talk:86.9.138.200|talk]]) 20:33, 15 November 2008 (UTC)</span><!-- Template:UnsignedIP --> <!--Autosigned by SineBot-->"
Talk:Arms industry,Huge bias,"Reading it and in the ethical dimension opions are everywhere. there so many in there that it makes me sick. It was obviously written by someone with a anti-war bias. Changes should be made immediately.  <small>—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[Special:Contributions/68.215.184.235|68.215.184.235]] ([[User talk:68.215.184.235|talk]]) 21:34, 28 May 2008 (UTC)</small><!-- Template:UnsignedIP --> <!--Autosigned by SineBot--> :Lol, ""anti-war bias"". Funnies thing I've read all week."
Talk:Arms industry,For anyone interested in truth.,"I won't bother correcting the article since truth is usually deleted and called 'vandalism'. However, for anyone interested in truth as opposed to propaganda you will find that the United Kingdom is in fact the world's largest arms exporter. I include the following references.  http://us.ft.com/ftgateway/superpage.ft?news_id=fto061720081820345462  http://english.peopledaily.com.cn/90001/90778/90858/90865/6432795.html  http://news.xinhuanet.com/english/2008-06/18/content_8394781.htm  http://www.socialistparty.org.uk/articles/6214  http://www.telegraph.co.uk/finance/newsbysector/industry/2791850/UK-leads-world-market-in-defence-exports.html  etc etc.  ~BS Detector~  14 November 2008  <span style=""font-size: smaller;"" class=""autosigned"">—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[Special:Contributions/86.9.138.200|86.9.138.200]] ([[User talk:86.9.138.200|talk]]) 21:12, 14 November 2008 (UTC)</span><!-- Template:UnsignedIP --> <!--Autosigned by SineBot-->"
Talk:Arms industry,Defense budget error,"I know the defense budget for the US is nowhere near 12.11% of the country's GDP - closer to 5%, really.  And either the US figure of 987.5 billion is wrong, or the total for the world is wrong - just sum up the top several countries and the discrepancies become clear.  I'm not sure where to find a good source for this, so I won't try fixing it myself - but I thought I'd bring it up. [[Special:Contributions/163.118.220.229|163.118.220.229]] ([[User talk:163.118.220.229|talk]]) 23:29, 15 January 2009 (UTC)  Sorry - I thought I was signed in.  [[User:Angrist|Angrist]] ([[User talk:Angrist|talk]]) 23:31, 15 January 2009 (UTC)"
Talk:Arms industry,Venezuela's Military Budget,"There was a note in the ""World's largest defence budgets"" where it said that venezuela budget was 50 to 80 Billion USD, that's just impossible, Check the CIA Factbook at https://www.cia.gov/library/publications/the-world-factbook/geos/ve.html#Military and there you have that venezuela military budget it's around 1.2% of its GDP, reaching as much as 4.5 Billion USD  <span style=""font-size: smaller;"" class=""autosigned"">—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[Special:Contributions/190.79.202.110|190.79.202.110]] ([[User talk:190.79.202.110|talk]]) 16:19, 14 February 2009 (UTC)</span><!-- Template:UnsignedIP --> <!--Autosigned by SineBot-->  The world's largest defense budgets section is rubbish i think. It was obviously vandalized by someone, in a meticulous and well-planned way, the section looks rather convincing to the layman after all. I'll edit it according to the ""[[List of countries by military expenditures]]"" page [[User:Assassin3577|Assassin3577]] ([[User talk:Assassin3577|talk]]) 13:07, 18 March 2009 (UTC)"
Talk:Arms industry,New Attempts at Politicizing,"I am dismayed to see some new edits that are injecting politics into this wiki-article.  What, pray tell, does ""small arms-conflicts"" mean?  Clearly, this is a fabricated political term of art invented by hoplophobes. The statistic quoted from the Oxfam report is meaningless.  No modern war is fought entirely with small arms.  Statistically, most casualties are caused by aerial bombs, artillery shells, mortars, and rockets, NOT small arms.  THERE ARE NO  ""small arms-conflicts"", but there ARE conflicts that include the use of small arms.   To assign the aggregate death toll to a weapons system that is in fact has a minority causal relationship, and then give a name attributing the deaths wholly TO that system is intellectually dishonest, at best, and political strong-arming at worst. In the early 21st Century, perhaps the only ""conflicts"" that take place entirely with small arms are fought by urban street gangs.  So, with a high degree of certainly, the cited annual death toll in the hundreds of thousands is specious.  Unless or until a less blatantly-biased source can be cited, this politicized statistical detrius from the Oxfam politicos should be removed from the article..  [[User:Trasel|Trasel]] ([[User talk:Trasel|talk]]) 04:30, 5 June 2009 (UTC)  * If editors want to assert facts, they must provide citations.  Otherwise, they  are just inserting personal opinions (POV) in articles and in talk pages, including opinions about Oxfam as a source, name-calling (""hoplophobes"") and exaggerated generalizations.  WP does not care about editors' opinions; just cited facts. [[User:Hmains|Hmains]] ([[User talk:Hmains|talk]]) 17:33, 5 June 2009 (UTC)  ::You've side-stepped the key issue:  THERE ARE NO  ""small arms-conflicts"". That term is a politicized construct.  Do a Google search on the phrase ""small arms-conflicts"" and you will see that the alleged ""reference"" essentially invented the term.  How can you accuse me of injecting opinion into the article, when all that I'm trying to do is delete some unsubstantiated balderdash another editor inserted? To insert that sort of blatantly-biased POV into this article without balance or attribution of the origin of the phrase is irresponsible and most unwikilike. [[User:Trasel|Trasel]] ([[User talk:Trasel|talk]]) 03:51, 9 June 2009 (UTC)"
Talk:Arms industry,Trends,"SIPRI published data for 2008, a good summary is [http://news.bbc.co.uk/2/hi/business/8086117.stm here]. Have fun. [[User:TheFourFreedoms|TheFourFreedoms]] ([[User talk:TheFourFreedoms|talk]]) 10:58, 8 June 2009 (UTC)  :Please note that [[User:TheFourFreedoms|TheFourFreedoms]] has been indefinitely blocked as a sock puppet.[http://en.wikipedia.org/w/index.php?title=Wikipedia:Administrators%27_noticeboard/Incidents&oldid=295695737#User:Ice_Cold_Beer] [[User:A Quest For Knowledge|A Quest For Knowledge]] ([[User talk:A Quest For Knowledge|talk]]) 01:13, 12 June 2009 (UTC)"
Talk:Arms industry,Pop culture,"I propose to remove the ""Pop culture"" section; it doesn't add anything to the article. [[User:Lapsed Pacifist|Lapsed Pacifist]] ([[User talk:Lapsed Pacifist|talk]]) 14:44, 14 September 2009 (UTC) : I agree with you. Unless someone protests, I'll just remove it in some days. [[User:Greswik|Greswik]] ([[User talk:Greswik|talk]]) 18:55, 13 January 2010 (UTC)"
Talk:Arms industry,Wrong chart,"[[Turkey]] and [[Iraq]] have higher military spending than Spain. [[User:Wikifan12345|Wikifan12345]] ([[User talk:Wikifan12345|talk]]) 23:13, 13 October 2009 (UTC)"
