title,subtopic,relevant_content,discussion_date
Talk:Arms industry,Invalid criticism of the United States," ::in fact the world won't be save while people like you still live.  you're not happy with what you named ""extremely selective use of sources"", and you make me wonder how in the world there are so many people, mainly in the states, so stupid and brainwashed like you.  it's really disturbing and i can see that more 2 or 3 right-wing administrations like reagan and bush, oil and arms industries puppets, will lead your country to civil war.  for as you know, fortunately there are also human beings left in your country that will not stand more of your worldwide misery and lies.  -  this clause seems wholly unsupported: ""entire nations, to use the parlance of the early 21st century, can go from the ""coalition of the willing"" to the ""axis of evil"" in very little time, and every change affects policy and the distribution of arms in the world."" [[user:lostnihilist|lostnihilist]]","17:06, 15 march 2007"
Talk:Arms industry,Invalid criticism of the United States,":: are you brainwashed or just plain stupid?  have a look in the east, mainly near east, american foreign police in the last 50 years history.  how many times your enemies changed their names, how many times the same former enemies changed to big friends of yours? —the preceding [[wikipedia:sign your posts on talk pages|unsigned]] comment was added by [[special:contributions/201.19.180.233|201.19.180.233]] ([[user talk:201.19.180.233|talk]])","16:47, 28 march 2007"
Talk:Arms industry,Invalid criticism of the United States," :::there is a better way of describing this process than using terms directed specifically at slandering the us.  that sentence and the following  """"freedom fighters"" become ""insurgents"". ""terrorists"" become ""invaluable allies"", and ""religious zealots"" morph into ""agents of stability"". entire nations, to use the parlance of the early 21st century, can go from the ""coalition of the willing"" to the ""axis of evil"" in very little time, and every change affects policy and the distribution of arms in the world.""  are very much directed specifically at the us when many other nations have gone through the same process.  should be put in an objective manner, not like it is, currently. [[user:daquake|james]]","03:57, 7 april 2007"
Talk:Arms industry,Invalid criticism of the United States,":shut up and accept the facts. u.s. = evil. the cold hard facts, christ.  -g  ""of course—and this is endemic of nearly every debate over arms trade—the terminology used and the people it refers to can be frustratingly fluid. as years pass, governments decide on new ""interests"" and circumstances change accordingly. ""freedom fighters"" become ""insurgents"". ""terrorists"" become ""invaluable allies"", and ""religious zealots"" morph into ""agents of stability"". entire nations, to use the parlance of the early 21st century, can go from the ""coalition of the willing"" to the ""axis of evil"" in very little time, and every change affects policy and the distribution of arms in the world.""  i removed that^. it is obviously written by someone with a bias against the us, and anyone that cannot see it is either blind, a fool, or both. ""coalition of the willing"" and ""axis of evil"" being two terms used by the bush administration and seem to criticize such beliefs. also personal opinions are personal opinions, and are discouraged on wikipedia when it comes to making a case for or against. in addition, they are quotes without any reference.  ""entire nations, to use the parlance of the early 21st century, can go from the ""coalition of the willing"" to the ""axis of evil"" in very little time,"" has no source to back it up. who says that it can go from one to the other in very little time. let's be honest here. this is a slam against the usa and if we take it as that, it is factually incorrect on account that the ""axis of evil"" included north korea and the united state's relations with north korea have pretty clear since the korean war. when were they ever part of the ""coalition of the willing""?  [[user:heronmark|heronmark]] ([[user talk:heronmark|talk]])","01:13, 19 september 2009"
Talk:Arms industry,Statistical support,"the volume of transactions for specific contries can vary a lot from year to year and comments about the volume for a single year could be misleading and become irrelevent in the future.  many statistical figures originally contained in this article come from this annual crs report to congress: [http://www.fas.org/sgp/crs/natsec/rl33051.pdf conventional arms transfers to developing nations, 1997-2004] however, other figues originally contained in this article come from the appendices of the [http://yearbook2005.sipri.org/ sipri yearbook 2005] which are producing quite a different picture even considering that they are stated in 1990 dollars. --[[user:astator|astator]]","04:39, 16 april 2006"
Talk:Arms industry,Statistical support,"== pov == i've tried to npov this article a bit, removing weasel phrases such as ''there are often allegations of political corruption in regard to large arms contracts.'' i'm sure there are, but without further context or citations (of wide spread practice, not individual incidents), it is imo a pov statement.  also removed the bit about how many people get killed by guns, which doesn't belong in the article, as well as the misunderstanding of both irony and the role of the security council.  an account of the oposition to arm trade aught to be in the article, but the article should not be an outlet for their ideas. --[[user:badseed|badseed]]","10:26, 23 january 2006"
Talk:Arms industry,Major Weapon manufacturers,"is it really necessary to have a list of the major weapon manufacturing companies in the world, considering there's already an article for that (see: [[list of modern armament manufacturers]])? at least, i'd try to shorten it, clarify it, maybe put it into some table. i've made some research and it seems most of sources i stumble upon are very subjective and unreliable. this article will be hard to complete. --[[user:m3taphysical|ludvig]]","03:03, 10 february 2006"
Talk:Arms industry,Largest Weapons Exporters,"i created a table for the data listed here.  i don't know how to right justify the figures, so if somebody could do that i would appreciate it.  also, if the original author (or somebody) could clarify what they mean by ""current us dollars"" and ""1990 us dollars"", that would really help the understandability of the article. [[user:tabun1015|tabun1015]]","02:55, 6 june 2006"
Talk:Arms industry,Largest Weapons Exporters,"the carlyle group is a private equity company and does not manufacture arms.  can someone please cite the original source for this table and give units to the numbers on the table?  ""us (1990-2006): 45438"" is an impressive number, and much bigger than any other number on the table, yet i'm forced to ask myself, ""45438 of what?"" [[user:myownlittlworld|myownlittlworld]] ([[user talk:myownlittlworld|talk]])","19:48, 23 november 2007"
Talk:Arms industry,Lacking in history,"this article could use a ""history"" section, if anyone's willing to do the research to write it. [[user:isomorphic|isomorphic]]","01:40, 23 september 2006"
Talk:Arms industry,AK-47 and Other Misunderstandings,"the [[ak-47]] is the most widely-copied weapon in the world and, according to the russians, who would very much like a larger piece of the action, most are made illegally by nations and private enterprises which don't pay a license fee to the russian patent holder. so equating numbers of ak-47s with any sort of russian dominance seems hasty at best. even with developing countries, more than two thirds of russian transfers were to china and india, economic powerhouses in their own right and major military and nuclear powers besides. is it fair to equate these two nations with countries such as uganda or nigeria?  moreover, russian exports are steadily declining, and eu and israeli exports increasing, so statistics given for a range of years, especially in the past, may misstate the instantaneous, or even annual figures for the countries mentioned. see the current sipri report, among others.  it's also hard to equate the numbers released by the various agencies cited in both the main article and in these comments with reality, since terms of art, apples and oranges comparisons, and outright obfuscation mar most of them. sales to developing nations are not the same as the arms trade in its entirety, since a large part of us output, for example, goes to developed countries. canada, for example, buys from us, as do taiwan, australia, and many others, and all the official reports very clearly state that they reveal only unclassified information, so we must suppose that cia-mediated and other clandestine transfers don't show up in the statistics. in the end, the article relies on the informed guesswork of sipri and other organizations with somewhat less of an agenda and/or political mandate than many official government agencies.  the sipri report cited is actually last year's edition, and has been superceded by the 2006 version here: [http://yearbook2006.sipri.org/  sipri yearbook 2006]  [http://www.l-3com.com/ l-3 communications] makes the sighting systems for weapons, as well as logistical support systems for military operations, so excluding it from the list, in this era of subcontractors taking on tiny bits of each finished product, seems slightly obsessive. one could easily carry this to extremes, and exclude the manufacturers of explosives, for example, because they have to be packed into a bomb in order to qualify as a weapon, or bullets, because they don't become weapons of war until fired from a gun at another human being. indeed, there are those who use ak-47s to hunt deer and other game, so perhaps many of these so-called assault rifles are actually intended for jolly bands of huntsmen, out to shoot ducks or quail.  likewise [[carlyle group]] profits from or substantially owns several defense companies. are the owners of a business somehow not responsible for what they produce? even if the relative amount of carlyle capital invested in weapons contractors is minor? one notes that aerospace & defense are specialties, while plowshares are not. not much money in the latter, one must suppose. [[user:lee-anne|lee-anne]]","14:31, 26 february 2007"
Talk:Arms industry,AK-47 and Other Misunderstandings,":mikhail kalashnikov never patented the design for the ak47, hence until 1999 there was nothing illegal about other nations building their own versions or even exact copies.  izh's claim to the patent, issued 52 years after the rifle was first created, is incredibly dubious.  just a little titbit which might be of interest.  [[user:happy-melon|happy-melon]]","17:31, 3 march 2007"
Talk:Arms industry,Table vandalism,"currently the stats are all incorrect.  :i've reverted the section to a previous version. feel free to remove/revert the vandalism if you see it. thanks, [[user:ladida|ladida]]","11:45, 6 march 2007"
Talk:Arms industry,Illegal vs. Legal Arms Trading,"there seems to be very little distinction between legitimate, legal arms trading and illegal weapons smuggling (which is what it should be called). this is important because small arms smuggling is usually the area of concern for most people concerned with current events in war-torn regions and is what ""arms trade"" means to a lot of people; whereas legitimate trading between, say, the us and mexico, is entirely different. —the preceding [[wikipedia:sign your posts on talk pages|unsigned]] comment was added by [[special:contributions/198.151.181.214|198.151.181.214]] ([[user talk:198.151.181.214|talk]])","21:46, 13 march 2007"
Talk:Arms industry,Outdated Figures,"according to more current figures from 2006, russia and france have taken over as the leading countries in arms dealing -- why is this not reflected in the article?????  here is the link to the article setting this out.  http://www.canada.com/nationalpost/news/story.html?id=2d383264-f486-4305-9336-d6178d88f3b2&k=70609 —the preceding [[wikipedia:sign your posts on talk pages|unsigned]] comment was added by [[special:contributions/207.230.224.34|207.230.224.34]] ([[user talk:207.230.224.34|talk]])","18:35, 28 march 2007"
Talk:Arms industry,First post ever,"this article seems to violate the npov rule badly, especially the last part of global impact.  while america's policies might be questionable, this is not the place to do it.  i'm shocked that this whole talk page hasn't turned into a flame war considering how vehement most editors are about keeping pov out of an article. —the preceding [[wikipedia:sign your posts on talk pages|unsigned]] comment was added by [[special:contributions/76.177.83.13|76.177.83.13]] ([[user talk:76.177.83.13|talk]])","20:03, 30 march 2007"
Talk:Arms industry,Overall Lack Of Quality,"the whole thing is awful. even the very first line: ""the arms industry is a massive global industry."" someone needs to rewrite this to a professional standard; i'd do it myself, but i don't have a good enough understanding of the subject matter. ironically, i came here to learn more about it...  --[[user:boiled elephant|boiled_elephant]]","15:04, 13 april 2007"
Talk:Arms industry,US is not the largest exporter of arms,"how can this article say that the us is by far the largest exporter of arms when this position is, according to many sources, held by russia.  sources: http://www.abc.net.au/news/newsitems/200606/s1661277.htm  http://www.canada.com/nationalpost/news/story.html?id=2d383264-f486-4305-9336-d6178d88f3b2&k=70609 [[user:ilya1166]] 2 june 2007   both sources are rather fishy (incompetent journalist irresposible blab apparently).  according to sipri data (and their numbers i take anyday over what ""borzopisci"" write), largest armes exporter '''is''' usa, with russia not far behind.   why are you giving a link that refers to 2005? it is now 2008 and the united kingdom is currently the largest exporter of armaments.  ~'bs detector'~ 15 november 2008  —preceding [[wikipedia:signatures|unsigned]] comment added by [[special:contributions/86.9.138.200|86.9.138.200]] ([[user talk:86.9.138.200|talk]])","20:33, 15 november 2008"
Talk:Arms industry,Huge bias,reading it and in the ethical dimension opions are everywhere. there so many in there that it makes me sick. it was obviously written by someone with a anti-war bias. changes should be made immediately.  —preceding [[wikipedia:signatures|unsigned]] comment added by [[special:contributions/68.215.184.235|68.215.184.235]] ([[user talk:68.215.184.235|talk]]),"21:34, 28 may 2008"
Talk:Arms industry,For anyone interested in truth.,"i won't bother correcting the article since truth is usually deleted and called 'vandalism'. however, for anyone interested in truth as opposed to propaganda you will find that the united kingdom is in fact the world's largest arms exporter. i include the following references.  http://us.ft.com/ftgateway/superpage.ft?news_id=fto061720081820345462  http://english.peopledaily.com.cn/90001/90778/90858/90865/6432795.html  http://news.xinhuanet.com/english/2008-06/18/content_8394781.htm  http://www.socialistparty.org.uk/articles/6214  http://www.telegraph.co.uk/finance/newsbysector/industry/2791850/uk-leads-world-market-in-defence-exports.html  etc etc.  ~bs detector~  14 november 2008  —preceding [[wikipedia:signatures|unsigned]] comment added by [[special:contributions/86.9.138.200|86.9.138.200]] ([[user talk:86.9.138.200|talk]])","21:12, 14 november 2008"
Talk:Arms industry,Defense budget error,"i know the defense budget for the us is nowhere near 12.11% of the country's gdp - closer to 5%, really.  and either the us figure of 987.5 billion is wrong, or the total for the world is wrong - just sum up the top several countries and the discrepancies become clear.  i'm not sure where to find a good source for this, so i won't try fixing it myself - but i thought i'd bring it up. [[special:contributions/163.118.220.229|163.118.220.229]] ([[user talk:163.118.220.229|talk]])","23:29, 15 january 2009"
Talk:Arms industry,Defense budget error,sorry - i thought i was signed in.  [[user:angrist|angrist]] ([[user talk:angrist|talk]]),"23:31, 15 january 2009"
Talk:Arms industry,Venezuela's Military Budget,"there was a note in the ""world's largest defence budgets"" where it said that venezuela budget was 50 to 80 billion usd, that's just impossible, check the cia factbook at https://www.cia.gov/library/publications/the-world-factbook/geos/ve.html#military and there you have that venezuela military budget it's around 1.2% of its gdp, reaching as much as 4.5 billion usd  —preceding [[wikipedia:signatures|unsigned]] comment added by [[special:contributions/190.79.202.110|190.79.202.110]] ([[user talk:190.79.202.110|talk]])","16:19, 14 february 2009"
Talk:Arms industry,Venezuela's Military Budget,"/span>   the world's largest defense budgets section is rubbish i think. it was obviously vandalized by someone, in a meticulous and well-planned way, the section looks rather convincing to the layman after all. i'll edit it according to the ""[[list of countries by military expenditures]]"" page [[user:assassin3577|assassin3577]] ([[user talk:assassin3577|talk]])","13:07, 18 march 2009"
Talk:Arms industry,New Attempts at Politicizing,"i am dismayed to see some new edits that are injecting politics into this wiki-article.  what, pray tell, does ""small arms-conflicts"" mean?  clearly, this is a fabricated political term of art invented by hoplophobes. the statistic quoted from the oxfam report is meaningless.  no modern war is fought entirely with small arms.  statistically, most casualties are caused by aerial bombs, artillery shells, mortars, and rockets, not small arms.  there are no  ""small arms-conflicts"", but there are conflicts that include the use of small arms.   to assign the aggregate death toll to a weapons system that is in fact has a minority causal relationship, and then give a name attributing the deaths wholly to that system is intellectually dishonest, at best, and political strong-arming at worst. in the early 21st century, perhaps the only ""conflicts"" that take place entirely with small arms are fought by urban street gangs.  so, with a high degree of certainly, the cited annual death toll in the hundreds of thousands is specious.  unless or until a less blatantly-biased source can be cited, this politicized statistical detrius from the oxfam politicos should be removed from the article..  [[user:trasel|trasel]] ([[user talk:trasel|talk]])","04:30, 5 june 2009"
Talk:Arms industry,New Attempts at Politicizing,"* if editors want to assert facts, they must provide citations.  otherwise, they  are just inserting personal opinions (pov) in articles and in talk pages, including opinions about oxfam as a source, name-calling (""hoplophobes"") and exaggerated generalizations.  wp does not care about editors' opinions; just cited facts. [[user:hmains|hmains]] ([[user talk:hmains|talk]])","17:33, 5 june 2009"
Talk:Arms industry,New Attempts at Politicizing,"::you've side-stepped the key issue:  there are no  ""small arms-conflicts"". that term is a politicized construct.  do a google search on the phrase ""small arms-conflicts"" and you will see that the alleged ""reference"" essentially invented the term.  how can you accuse me of injecting opinion into the article, when all that i'm trying to do is delete some unsubstantiated balderdash another editor inserted? to insert that sort of blatantly-biased pov into this article without balance or attribution of the origin of the phrase is irresponsible and most unwikilike. [[user:trasel|trasel]] ([[user talk:trasel|talk]])","03:51, 9 june 2009"
Talk:Arms industry,Trends,"sipri published data for 2008, a good summary is [http://news.bbc.co.uk/2/hi/business/8086117.stm here]. have fun. [[user:thefourfreedoms|thefourfreedoms]] ([[user talk:thefourfreedoms|talk]])","10:58, 8 june 2009"
Talk:Arms industry,Trends,:please note that [[user:thefourfreedoms|thefourfreedoms]] has been indefinitely blocked as a sock puppet.[http://en.wikipedia.org/w/index.php?title=wikipedia:administrators%27_noticeboard/incidents&oldid=295695737#user:ice_cold_beer] [[user:a quest for knowledge|a quest for knowledge]] ([[user talk:a quest for knowledge|talk]]),"01:13, 12 june 2009"
Talk:Arms industry,Pop culture,"i propose to remove the ""pop culture"" section; it doesn't add anything to the article. [[user:lapsed pacifist|lapsed pacifist]] ([[user talk:lapsed pacifist|talk]])","14:44, 14 september 2009"
Talk:Arms industry,Pop culture,": i agree with you. unless someone protests, i'll just remove it in some days. [[user:greswik|greswik]] ([[user talk:greswik|talk]])","18:55, 13 january 2010"
Talk:Arms industry,Wrong chart,[[turkey]] and [[iraq]] have higher military spending than spain. [[user:wikifan12345|wikifan12345]] ([[user talk:wikifan12345|talk]]),"23:13, 13 october 2009"
Talk:Arms industry,[[Arms_exports#Ethical_dimension|Ethical dimension]] section,"this section reads like nothing more than editorialising and moralising, and can hardly be considered [[npov]]. [[special:contributions/128.104.49.177|128.104.49.177]] ([[user talk:128.104.49.177|talk]])","03:43, 31 october 2009"
Talk:Arms industry,Merge with [[Defense industry]] ?,these two articles seem similar. merge? [[user:tgcp|tgcp]] ([[user talk:tgcp|talk]]),"10:45, 4 may 2010"
Talk:Arms industry,Merge with [[Defense industry]] ?,"these articles could be merged however i wouldn't want the main title to be 'defence industry' since conflict doesn't begin with defence, it begins with attack. it's misleading and neutering to call the trade a defence industry. [[user:mrgauntlett|mrgauntlett]] ([[user talk:mrgauntlett|talk]])","19:59, 16 june 2015"
Talk:Arms industry,Naval systems picture,"no country specific picture? having either a us ship or a turkish ship, you are not going to avoid a country specific picture (unless you have a picture of several ships from different nations). so why did i replace the previous picture? the opening collage is dominated by us images. a us ship under naval systems makes this article even more us-centric when it comes to images (the ak-47 being an exception). the new image adds a bit of variety. secondly, this article is also about arms exports, and the new image i put in is an example of a naval system that has been exported, the previous image was not. [[user:chwyatt|chwyatt]] ([[user talk:chwyatt|talk]])","08:00, 11 august 2010"
Talk:Arms industry,Dwight Eisenhower would kick some asses around here,"he was a successful general and a president—i.e., someone with proven executive talent, and someone who would dress down and then fire someone who was too stupid to remain in a position under him. i wish he was here today so that some of the visitors to this article could tell him that [[eisenhower's farewell address|his farewell presidential address]] was worthless and meaningless because, as one recent comical edit summary had it, ""what gov does with arms isn't about the industry that makes them"". when i have more time to devote to it, i will rewrite the ""risks""/""criticisms"" section so that it is more encyclopedic and cites, for example, that address directly. but the themes that were already here, albeit in a draft that people didn't approve of, are the same themes that will be covered therein. just another instance of the general wikipedian principle that there are those who work with existing valid content to fix its flaws, and then there are those who just delete it because they're lazy and, judging by some of the edit summaries, not very informed either. see you later—i'll be back to re-add the revised draft when i get time. — [[user:three-quarter-ten|¾-10]]","03:26, 11 october 2011"
Talk:Arms industry,File:F-247 TCG Kemal Reis.jpg Nominated for Deletion,"{| |- | [[file:image-x-generic.svg|100px]] | an image used in this article, [[commons:file:f-247 tcg kemal reis.jpg|file:f-247 tcg kemal reis.jpg]], has been nominated for deletion at [[wikimedia commons]] in the following category: ''deletion requests november 2011'' ;what should i do? ''don't panic''; a discussion will now take place over on commons about whether to remove the file. this gives you an opportunity to contest the deletion, although please review commons guidelines before doing so. * if the image is [[wp:nfcc|non-free]] then you may need to upload it to wikipedia (commons does not allow fair use) * if the image isn't freely licensed and there is no [[wp:fur|fair use rationale]] then it cannot be uploaded or used.  ''this notification is provided by a bot'' --[[user:commonsnotificationbot|commonsnotificationbot]] ([[user talk:commonsnotificationbot|talk]])","22:04, 27 november 2011"
Talk:Arms industry,Russian Arms exports are 14 Billion US Dollars in 2012,http://en.rian.ru/world/20120210/171252979.html --[[user:alibaba445|alibaba445]] ([[user talk:alibaba445|talk]]),"05:48, 11 february 2012"
Talk:Arms industry,Russian Arms exports are 14 Billion US Dollars in 2012,13 billion in 2011 http://en.rian.ru/mlitary_news/20120215/171331930.html --[[user:alibaba445|alibaba445]] ([[user talk:alibaba445|talk]]),"12:22, 16 february 2012"
Talk:Arms industry,Iceland Place 10??,"the table of the world's largest arms exporters claims, that iceland is the worlds 10th largest exporter. but that's definetely false. can someone correct that? --[[special:contributions/41.135.177.117|41.135.177.117]] ([[user talk:41.135.177.117|talk]])","20:15, 13 october 2012"
Talk:Arms industry,Removal of sourced information,"recently an editor has undertaken to remove sourced information about algeria. the edit-warring to blank algeria from the table of top importers also removed the recent source which i added to replace the old one whose link  does not work. in their edit-summaries, the user removing the information leaves comments which are unclear at best. their latest implies that the new source i added is wrong and that s/he has talked about it. but there is no trace of any comments of his on this talkpage regarding my source. i will consider any further removals of this cited information without engaging on this talkpage not only as edit-warring but also unjustified blanking. [[user:dr.k.|δρ.κ.]] [[user talk:dr.k.|λόγος]][[special:contributions/dr.k.|πράξις]]","23:33, 23 january 2014"
Talk:Arms industry,Edit warring,"will the two editors please stop edit warring over the ""'''largest defense industry companies'''"" table. note that the table is sourced from the stockholm international peace research institute for the year 2013. please do not add alternative sources to the table as that would constitute [[wp:synth]], and is against wikipedia's policies. cheers. [[user:antiochus the great|antiochus the great]] ([[user talk:antiochus the great|talk]])","20:33, 8 january 2016"
